Time,Instrument,Gain
00:49.600,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:49.607,instruments/hide_3-25_soft.wav,0.2
00:49.609,instruments/hide_3-29_soft.wav,0.2
00:50.1,instruments/hide_3-36.wav,0.30000000000000004
00:50.391,instruments/hide_3-29b_soft.wav,0.2
00:50.397,instruments/hide_3-25b_soft.wav,0.2
00:50.406,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
00:50.808,instruments/hide_3-37.wav,0.30000000000000004
00:51.196,instruments/hide_3-24_soft.wav,0.2
00:51.203,instruments/hide_3-28_soft.wav,0.2
00:51.206,instruments/double-bass_A2_05_piano_arco-normal.wav,0.14
00:51.996,instruments/double-bass_A2_05_piano_arco-normal.wav,0.14
00:52.1,instruments/hide_3-24b_soft.wav,0.2
00:52.9,instruments/hide_3-28b_soft.wav,0.2
00:52.791,instruments/hide_3-29_soft.wav,0.2
00:52.802,instruments/double-bass_A2_05_piano_arco-normal.wav,0.14
00:52.808,instruments/hide_3-25_soft.wav,0.2
00:53.592,instruments/hide_3-25b_soft.wav,0.2
00:53.598,instruments/hide_3-29b_soft.wav,0.2
00:53.609,instruments/double-bass_A2_05_piano_arco-normal.wav,0.14
00:54.393,instruments/hide_3-24_soft.wav,0.2
00:54.399,instruments/hide_3-28_soft.wav,0.2
00:54.409,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
00:55.191,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
00:55.199,instruments/hide_3-24b_soft.wav,0.2
00:55.204,instruments/hide_3-28b_soft.wav,0.2
00:55.994,instruments/hide_3-29_soft.wav,0.2
00:55.997,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
00:56.5,instruments/hide_3-25_soft.wav,0.2
00:56.795,instruments/hide_3-25b_soft.wav,0.2
00:56.800,instruments/hide_3-29b_soft.wav,0.2
00:56.803,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
00:57.593,instruments/hide_3-24_soft.wav,0.2
00:57.601,instruments/hide_3-28_soft.wav,0.2
00:57.604,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
00:58.393,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
00:58.399,instruments/hide_3-24b_soft.wav,0.2
00:58.407,instruments/hide_3-28b_soft.wav,0.2
00:59.197,instruments/hide_3-29_soft.wav,0.2
00:59.200,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
00:59.205,instruments/hide_3-25_soft.wav,0.2
